Team #,Team Name,"Matches
Played",AM (AVG),AL4 (IQM),AL3 (IQM),AL2 (IQM),AL1 (IQM),AR (IQM),AP (IQM),AN (IQM),TD,TL4 (IQM),TL3 (IQM),TL2 (IQM),TL1 (IQM),TR (IQM),TP (IQM),TN (IQM),Dropped/Missed (IQM),Fouls (IQM),Broken? (AVG),Miss Rate (%),Climb Pts (IQM),Teleop Coral Avg (w/o Defense),Teleop Algae Avg (SUM),Auto Points (SUM),Teleop Points (SUM),Defense Effectiveness (AVG),All Points (SUM),Haze Power Ranking,,,,,
1507,Warlocks,9,0.5555555556,1,0,0,0.1428571429,0,0,0,0,2.142857143,1.714285714,1.857142857,0,1.285714286,1,0.2857142857,1.714285714,0,0,0.17,10.28571429,6,1,7.428571429,26.28571429,0,52.11111111,4.165102929,,,,,
1671,Buchanan Bird Brains,10,1,1.25,0,0,0,0,0,0,0,2.25,2.625,1.875,0,2.125,0.625,0.625,1.375,0,0.1,0.13,5.75,7.2,0.625,8.75,31.125,0,54.4,6.266779034,,,,,
1678,Citrus Circuits,9,1,3.857142857,0,0,0,0,0,0,0,2.428571429,5.857142857,5.571428571,1.714285714,2.285714286,1.857142857,2.571428571,1.428571429,0,0,0.06,10.57142857,15.88888889,1.857142857,27,69.71428571,0,116.5555556,12.64892823,,,,,
1731,Fresta Valley Robotics Club,9,0.8888888889,2,0,0,0,0.1428571429,0,0,0,3.714285714,3.428571429,1.714285714,0.7142857143,1.285714286,0,0.5714285714,2.142857143,0,0,0.15,10.57142857,10,0,14,41.14285714,0,70.22222222,8.295365836,,,,,
1796,RoboTigers,9,0.8888888889,3.142857143,0,0,0,0,0,0,0,3.428571429,4.571428571,3.142857143,0.1428571429,2.714285714,1.142857143,2.428571429,1.428571429,0,0,0.07,12,11.55555556,1.142857143,22,57.14285714,0,98.66666667,10.71808623,,,,,
1833,Team BEAN,10,1,2.875,0,0,0,0,0,0,0,1.25,3,4.375,2.25,1,0,0,1.5,0,0,0.10,8,11.7,0,20.125,35.875,0,69.5,8.113638889,,,,,
1847,WRATH,10,1,0.25,0,0,0,0,0,0,0,1.75,3,2.5,0.75,0,0,0,2.75,0,0,0.25,6.5,8.7,0,1.75,29.75,0,43.6,6.32481264,,,,,
2056,OP Robotics,9,1,4.571428571,0,0,0,0,0,0,0,2.857142857,4.714285714,5.285714286,2.285714286,4,2.285714286,3.571428571,0.2857142857,0,0,0.01,10.57142857,15.11111111,2.285714286,32,72.42857143,0,127,11.28492027,,,,,
2129,Ultraviolet,9,1,2,0,0,0,0,0,0,0.1111111111,3.285714286,4.571428571,2.857142857,0.1428571429,1.428571429,1.142857143,0,1.142857143,0,0.1111111111,0.08,1.428571429,9.666666667,1.142857143,14,45.85714286,0,67.22222222,7.976397922,,,,,
2438,Iobotics,10,0.9,1,0,0,0,0,0,0,0,1.875,1.5,1.5,0.25,1.5,0.5,0,3.25,0,0,0.33,1.75,5.8,0.5,7,21.375,0,39.4,4.256992524,,,,,
2630,Thunderbolts,8,1,3,0,0,0,0,0,0,0,3.833333333,4.5,2.333333333,0.5,2.5,0.6666666667,3.5,2.166666667,0,0,0.11,10.33333333,12.25,0.6666666667,21,60.5,0,99.5,9.984955768,,,,,
2648,Infinite Loop,10,1,1.25,0,0,0,0,0,0,0,3.625,3.125,2.75,0,1.125,0.25,0.125,1.875,0,0,0.14,10.75,9.7,0.25,8.75,39.875,0,65.1,8.846138634,,,,,
2724,Avalanche Robotics,9,0.6666666667,0,0.1428571429,0.1428571429,0,1.285714286,0,0.5714285714,0.1111111111,0,2.714285714,3.285714286,0.1428571429,1,0.8571428571,0.7142857143,0.8571428571,0,0,0.09,10.57142857,5.444444444,0.8571428571,3.714285714,25.57142857,0,47.33333333,-4.707181215,,,,,
3173,IgKnighters,9,0.8888888889,2.428571429,0,0,0,0,0,0,0.1111111111,1.571428571,3.857142857,1,0.8571428571,2.428571429,0.5714285714,1.142857143,2.142857143,0,0,0.16,9.142857143,6.444444444,0.5714285714,17,33.71428571,0,64.44444444,4.414605054,,,,,
3255,SuperNURDs,9,0.8888888889,1.428571429,0,0,0,0.2857142857,0,0.1428571429,0.1111111111,2.714285714,3.714285714,1.571428571,0.2857142857,2,0.4285714286,2.857142857,2.571428571,0,0.1111111111,0.16,10.57142857,7.777777778,0.4285714286,10.57142857,46,0,72.44444444,3.937925788,,,,,
3256,WarriorBorgs,10,1,1,0,0,0,0.1428571429,0,0,0.1,3.125,3.625,2.375,0.25,1.875,0,1.125,2.625,0,0,0.19,8.25,7.4,0,7,42.25,0,61.2,6.34972784,,,,,
3256,WarriorBorgs,10,1,1,0,0,0,0.1428571429,0,0,0.1,3.125,3.625,2.375,0.25,1.875,0,1.125,2.625,0,0,0.19,8.25,7.4,0,7,42.25,0,61.2,6.34972784,,,,,
3492,Putnam Area Robotics Team (P.A.R.T.s),9,0.8888888889,0.4285714286,0,0.1428571429,0,0,0,0,0,0,4.142857143,4.285714286,2,0,0,0,1.714285714,0,0,0.13,1.714285714,10.44444444,0,3.571428571,33.42857143,0,42.22222222,5.56855945,,,,,
3792,Army Ants,9,0.8888888889,0,0,0,1.285714286,0,0,0,0,0,0,0,5.857142857,0,5.571428571,0,1.571428571,0,0,0.11,9.142857143,5.555555556,5.571428571,3.857142857,22.85714286,0,60.88888889,-12.99948565,,,,,
3891,Rodeo Robotics,10,1,0.25,0,0,0,0,0,0,0,0.125,4.375,1.5,0.125,0,0,0,1.875,0,0,0.23,2,6.8,0,1.75,22.875,0,33.1,6.064404601,,,,,
4005,Hostile Gato Robotics,10,0.8,0.875,0,0,0,0,0,0,0,3.25,2,1,0,0.375,0,0,1.625,0,0,0.19,7.75,6.6,0,6.125,27.25,0,45.3,5.701089377,,,,,
4013,Clockwork Mania,10,1,0.375,0,0,0,0,0,0,0,0.25,0.25,0.125,0,0.375,0.875,0,1.125,0,0.2,0.38,1.5,1.1,0.875,2.625,4.375,0,17.2,-0.4442899462,,,,,
4068,Bearbotics,10,1,2.75,0,0,0,0,0,0,0.2,3.25,3.75,3.375,0.375,2.125,0.75,0.875,1.625,0,0,0.10,2,8.6,0.75,19.25,47.125,0,77.4,5.920882492,,,,,
4415,EPIC Robotz,10,1,1.375,0,0,0,0.125,0,0.25,0,4,3.375,3.75,0,1.875,0.375,2.125,0.875,0,0,0.05,12,11.2,0.375,10.625,54,0,82.7,8.736870031,,,,,
4421,FORGE Robotics,10,1,1.625,0,0,0,0,0,0,0,2,2.375,1.75,0.125,1.75,0.75,0.375,2,0,0.1,0.18,8.25,7,0.75,11.375,28,0,56.3,5.631874937,,,,,
4451,ROBOTZ Garage,10,0.9,1.375,0,0,0,0,0,0,0.1,3.125,3.125,1.375,1.125,1,0,0.625,2,0,0,0.16,9.25,8,0,9.625,37,0,60.4,5.004070043,,,,,
4500,RoboHounds,10,1,2.125,0,0,0,0,0,0,0,3.5,4.125,2.25,0.375,0.75,0,0,1.125,0,0,0.08,12,10.9,0,14.875,41.5,0,73.2,9.806530446,,,,,
4607,C.I.S.,9,1,2.571428571,0,0,0,0,0,0,0,4.142857143,4.571428571,2,0,1.571428571,0.1428571429,2.142857143,0.7142857143,0,0,0.04,9.142857143,10.77777778,0.1428571429,18,53.85714286,0,84.11111111,10.49420018,,,,,
4613,Barker Redbacks,10,0.9,0,0.75,0,0,2.375,0,1.125,0,0,5.75,5.875,0.625,1.25,0,1.375,3.375,0,0,0.18,6.75,12.1,0,9,47.375,0,65.9,-2.252787401,,,,,
4655,Stateline Robotics,10,1,2.875,0,0,0,0,0,0,0,1.875,3.75,3.25,0,2,1.25,1,1.125,0,0,0.07,10.75,9.1,1.25,20.125,40.625,0,80.4,8.549985026,,,,,
4786,Nicolet FEAR,10,0.9,1.75,0,0,0,0.25,0,0.5,0,2,3.625,3,0.125,1.25,0.375,1.75,1.75,0,0,0.12,5.5,9,0.375,14.25,41.5,0,67.1,5.693307443,,,,,
4967,That ONE Team-OurNextEngineers,10,1,1,0,0,0,0.625,0,0,0.1,2.5,2.375,1.75,0.125,1.75,1.25,0.125,1.375,0,0,0.13,8,7,1.25,7,30.5,0,59.3,2.332168275,,,,,
5660,Symmetrical Chaos,10,0.9,1.5,0,0,0,0.25,0,0,0,1.625,4.875,3,0.75,2.125,0,3,2,0,0,0.12,10.75,10.3,0,10.5,50.125,0,73.6,8.683708524,,,,,
5968,Little Apple Cyborgs,10,1,0.75,0,0,0,0,0,0,0,1.25,1.5,0.875,0.25,0,0.125,0,1.5,0,0.4,0.24,1.5,4.4,0.125,5.25,15.625,0,29,2.935938662,,,,,
6017,PrepaTec - Cyberius,10,0.9,0,0,0,0,0.125,0,0,0,0.5,0.625,0.25,1.25,0.25,0,0,3.25,0,0,0.55,10.75,3.7,0,0,8.25,0,24.3,0.1190928491,,,,,
6083,Overlooking,8,1,1.333333333,0,0,0,0,0,0,0.125,0.6666666667,2.666666667,1.833333333,0,1.166666667,0.6666666667,0,1.5,0,0,0.17,1.666666667,4.625,0.6666666667,9.333333333,20.83333333,0,39.875,2.418907237,,,,,
6146,Blackjacks,11,1,0,0,0,0.1111111111,0,0,0,0,2.444444444,2.444444444,1.111111111,0.1111111111,0.5555555556,0,0,2.444444444,0,0,0.28,8.666666667,6.636363636,0,0.3333333333,25.55555556,0,41.45454545,4.652788194,,,,,
6348,PrepaTec - HORUS,10,0.8,0,0,0,0,0,0,0,0,1.125,1.625,0.5,0,0.875,0,0.125,2.75,0,0.1,0.45,1.5,4,0,0,14.125,0,21.7,2.909201064,,,,,
6424,Stealth Panther Robotics,8,1,2.166666667,0,0,0,0,0,0,0,3,4.666666667,2.333333333,0,1.5,0.5,0.1666666667,0.6666666667,0,0,0.05,12,10.375,0.5,15.16666667,42.33333333,0,77,10.11603955,,,,,
6909,SAKURA Tempesta,9,1,0,0,0,0,0,0,0,0,0,1.857142857,2.428571429,1.571428571,0.4285714286,0,0,2,0,0.1111111111,0.25,4.285714286,6.111111111,0,0,17.85714286,0,27.44444444,3.203581159,,,,,
6911,SO BOTZ,10,0.8,1,0,0,0,1.875,0,1.125,0,1,0.375,0.25,0,2.125,0.875,3.625,2,0,0.1,0.20,2.5,2.7,0.875,11.5,23.5,0,49.9,-7.793659899,,,,,
6995,NOMAD,10,0.8,1.625,0,0,0,0.25,0,0.5,0,2.625,2.625,1.5,0,1.25,1.25,1.125,1.75,0,0.1,0.13,5.5,7.4,1.25,13.375,35.125,0,65.6,3.402451152,,,,,
7034,2B Determined,9,0.8888888889,2.285714286,0,0,0,0,0,0,0,3.285714286,3.857142857,2.285714286,0.7142857143,0.4285714286,0,0,1.571428571,0,0,0.11,7.714285714,10.77777778,0,16,40.14285714,0,68.11111111,9.284748114,,,,,
7048,Red River Rage,10,0.7,1.125,0,0,0,0,0,0,0.1,3.625,2.25,0.75,0,0,0,0,2.5,0,0,0.24,5.5,6,0,7.875,29.375,0,46.5,4.146842386,,,,,
7197,Mountie Megabots,10,1,1.75,0,0,0,0,0,0,0,2.375,3.75,1.75,0.125,2,0.625,0,1.125,0,0.1,0.10,1.75,8.7,0.625,12.25,33.625,0,55.7,7.898226127,,,,,
7257,Semiconductors,10,0.7,1.375,0,0,0,0,0,0,0,2.75,4.25,3.25,0.25,0.5,0,0,1.125,0,0.1,0.09,12,10.7,0,9.625,41,0,65.2,10.17351689,,,,,
7525,Pioneers,10,1,2.375,0,0,0,0,0,0,0,1.75,3,3.375,0.125,0,0,0,1.75,0,0.3,0.14,1.75,8.3,0,16.625,31.125,0,51.6,7.949332057,,,,,
8575,The Due Westerners,8,0.75,0,1,0,0,1,0,0,0,0,5.5,2.166666667,0.3333333333,1,1.166666667,0,2.333333333,0,0,0.19,2,8.25,1.166666667,6,31.5,0,46.875,-0.2975602406,,,,,
8738,Slice,9,0.8888888889,2,0,0,0,0,0,0,0,3,3.428571429,3,0.5714285714,1.714285714,0,0.7142857143,3.571428571,0,0.1111111111,0.22,1.714285714,10,0,14,41.71428571,0,60,9.209737248,,,,,
8808,SWLA Tech Pirates,11,1,1,0,0,0,0,0,0,0,4,1.888888889,1.333333333,0,1.111111111,0,0,1.888888889,0,0,0.19,3.111111111,7.636363636,0,7,31.55555556,0,46.72727273,6.513768384,,,,,
9032,RoboWhales,10,0.9,1,0,0,0,0.5,0,0.375,0.1,2,2.625,2.5,0,1.25,0,1.375,0.625,0,0.1,0.06,1.75,6.9,0,8.5,33.5,0,52,2.109550096,,,,,
9199,SESI SENAI SHARKS,9,0.8888888889,0.8571428571,0,0,0,0,0,0,0.1111111111,2.571428571,1.714285714,0.5714285714,0,0.4285714286,0,0,1,0,0.1111111111,0.15,10.57142857,4.777777778,0,6,21.42857143,0,41.11111111,2.134793192,,,,,
9280,PrepaTec - High Altitude Robotics,10,1,0.25,0,0,0,0,0,0,0,4.25,1.125,1.5,0,1.25,0.625,0,1.625,0,0,0.17,1.25,7.5,0.625,1.75,31.5,0,43.2,5.336646113,,,,,
9312,NERD Spark,9,0.8888888889,0,0,0.5714285714,0,0,0,0,0,0,0,3.714285714,1.428571429,0,0,0,3.428571429,0,0,0.38,9.142857143,5.555555556,0,2.285714286,14,0,30.11111111,-6.03973172,,,,,
9432,Team 8-Bit,10,1,2.75,0,0,0,0,0,0,0,3,5,4.125,0,2.5,0,2.125,1.625,0,0,0.09,12,12.4,0,19.25,55.875,0,89.7,12.27460227,,,,,
9484,Robot's District,10,1,0,0,0,0,0,0,0,0,0.375,2.375,1.5,0,0.5,0,0,1,0,0.2,0.19,2,4.9,0,0,15.875,0,24.8,3.874320733,,,,,
10260,RoboJags,10,1,0,0,0,0.625,0,0,0,0,0,0,0,6.375,0,0,0,0.5,0,0,0.07,1.75,6.1,0,1.875,12.75,0,18.6,-6.273137602,,,,,
10291,MUTUM-X,10,0.8,0,0.625,0,0,0.375,0,0,0,0,4.5,2.25,0.625,1.25,0.375,0,1.5,0,0,0.15,9.5,7.4,0.375,3.75,26.75,0,43.9,2.361328589,,,,,
3297,Full Metal Jackets,10,1,1,0,0,0,0.875,0,0.875,0,1.75,0.375,0.75,0.125,1.375,1,0.5,1.25,0.125,0,0.16,10.75,3.7,1,10.5,16.75,0,49.3,-3.45984901,,,,,
6832,STEAMex,10,0.9,0,0,0,0.25,0,0,0,0,0,0,0,0.5,0,0.25,0,0.75,0.125,0.1,0.43,1,0.8,0.25,0.75,1.5,0,8.6,-2.377752754,,,,,
9301,PrepaTec Chihuahua - MechRams,9,1,0,0,0,0.2857142857,0,0,0,0,0,0,0,4.714285714,0,2,0,1.142857143,0.1428571429,0,0.14,12,4.888888889,2,0.8571428571,13.42857143,0,36.66666667,-5.032814415,,,,,
10698,Armathronics15,8,0.875,0,0,0,0,0,0,0,0,1.666666667,0.3333333333,0,0.1666666667,0.1666666667,0,0,0.1666666667,0.3333333333,0,0.07,10,2.875,0,0,10,0,24.625,1.080690622,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Min,,0.5555555556,0,0,0,0,0,0,0,0,0.00,0,0.0,0,0,0,0,0.2857142857,0,0,0.01104972376,1.4,0.6,0.0,1.8,4.4,0.0,17.2,,,,,,
,Max,,1,4.571428571,0.375,0.1428571429,1.285714286,1.285714286,0,0.5714285714,0.2,4.00,5.857142857,5.6,6,4,5.571428571,3.571428571,5.333333333,0,0.2,0.375,12.0,15.9,5.6,32.0,72.4,0.0,127.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.7517594567,0.3205170772,-5.803793379,-14.12579926,-5.574659129,-2.000272539,0,-3.83283818,-20.19089357,0.8046151714,1.234400018,0.8499354867,-0.319563324,0.2354924559,-0.5908911972,-0.252056874,0.8573148033,-21.44439714,-12.98147747,-8.22139772,1.557817595,2.248811056,-0.5908911972,1.29503891,2.231301649,#DIV/0!,2.482093769,,,,,,
